Entity,islabel
Our Audit Committee,0
ESS Semiconductors N.V.,1
"AMD  Co. , Ltd.",1
Czech,0
Questflo,0
Monolithic Devices Inc,1
ATI CrossFire Pro,0
Analog and Interface Products Division,0
"Hon Hai Precision Industry Co., Ltd.",1
Signal Integrity and Timing Product,0
NTG Ultra-Mobility Group,0
IPM,0
CSP EEPROMs,0
Freescale Technologies Ltd.,1
BiFET,0
Bang,0
Ember,1
Maxim Power Systems,0
Unisem,1
Maxim Instruments Inc.,1
Mubadala Technology Investments LLC,1
Qualcomm Technology Licensing,0
"King Yuan Electronics Co., Ltd.",1
"Nokia , Inc.",1
Dune Networks,1
"Texas Instruments, Inc.",1
RF360 Holdings Singapore Pte,1
Sharp,1
Leipziger Fab 36 KG,0
Media,0
Cisco Systems,0
"Platform of Things , Software and Services",0
Quantum Corp.,1
Future Electronics,1
Hewlett - Packard Company,1
WT,1
Raytheon Electric Device Innovations,0
"Maxim Integrated Products, Inc.",1
"Avago / A-COM Technology Solutions , Inc.",1
General Tax Counsel,0
"Samsung Electronics Co. , Ltd.",1
SMS Audio,0
Access,0
System,0
"Fairchild Semiconductor International, Inc.",1
"Tongfu Fujitsu Microelectronics Co., Ltd.",1
Motorola,1
Advanced Communications and Sensing,0
"SiGe Semiconductor , Inc",1
Equity Bank Securities Inc.,1
Iowa,1
Samsung Electronics Co . Ltd.,1
Skyworks-owned,0
Kingpak,1
General Semiconductor,1
VISION Pro Technology,1
Cooley,1
"Cavium , Inc.",1
Texas Devices Inc.,1
HD Radio ??,0
Integration Associates,1
Amazon.com,0
Triquint,1
ARM Semiconductor Inc.,1
VISION Technology,1
Global Foundries Inc.,1
HK,0
Renesas Technology Corp.,1
"II-VI, Inc.",1
Share Repurchase Program,0
Bytemobile,1
Merrill Lynch,1
JVs,0
National Association of Corporate Directors Board,1
Hewlett-Packard Packard Enterprise Company,1
Phoenix,1
Agreement,0
QUALCOMM,1
Spartan-3A,0
Fairchild Semiconductor,1
"Xilinx , Inc.",1
Pascal-powered,0
HGST,1
Broadcom Corporation,1
GreenPeak Technologies,1
Simplification,0
"Supertex , Inc",1
Pace,1
"Intel , Inc.",1
Energy Micro 's,1
ATI Technologies ULC,1
AKM Semiconductor Inc.,1
Sanken Electric,1
Foxconn Inc.,1
HERE,1
Cabot Microelectronics Corporation,1
Leshan-Phoenix Semiconductor Company Limited,1
Microchip,1
Applied Micro Circuits Corporation,1
Asus,1
Integration,0
"Ubiquiti Networks , Inc.",1
Significant Technologies,1
PCIe,0
ZTE Corporation,1
District,0
Error,0
Worldwide Sales and Applications,0
Atmel Semiconductor Corp,1
WCIS,1
Advanced and DO Advanced,0
Itron Electronics Co . Ltd.,1
"Intel-GE Care Innovations , LLC",1
TL,1
Strategic Investments,1
Flarion,1
Solomon,1
Semiconductor,0
Spectra Linear,1
"Motorola, Inc.",1
Infonetics,1
Linear Micro Devices,0
Alphabet,0
IBM Party,1
Broadcom Ltd.,1
Broadlight,1
Maxim Technology Inc.,1
Monolithic Power Systems Inc.,1
Beyond Automotive,1
EBV,0
Huawei Technologies,1
Murata Grumman Corporation,1
Hampshire Company,1
Amazon Web Services,0
ON Aptina Imaging Business,1
Technicolor Medical Systems,0
General,1
"Microsoft Group , Inc.",1
NXP B.V.,1
Monolithic Power Systems,1
Company Loan Parties,0
YouTube,1
Global System for Mobile Communication,0
NEC Epson Corporation,1
Autodesk,1
Niigata,1
A-Series,0
SANYO Display Company,1
IPR & D.,0
AOCI,1
CPU,0
Philips Electronics,1
CR-V,0
Premier,1
Mobileye Instruments Incorporated,1
Dell,1
Tesla,1
"Industrial , Medical and Mil-Aero Product Group",0
