Entity,white_list
Sagem,O
Atmel,O
Microsemi,X
Avnet,O
STMicroelectronics,O
DAA,O
Harman,X
Analog,O
Pace,X
Silicon Labs,O
ZTE,O
Texas,X
Varian,X
Samsung Medical Systems,X
Samsung,O
Taiwan Semiconductor Manufacturing Co.,O
Vectron,X
Maxim,O
Maxim Integrated Products,O
IDT,O
NXP Semiconductors,O
NXP,O
Freescale,O
Systems,X
TSMC,O
DSP,O
Alcatel,O
ProSLIC,X
FtA,X
Conexant,O
Silicon Laboratories Inc.,O
Epson,O
LG Electronics,O
LG,O
Cisco,O
Technicolor Medical Systems,X
Technicolor,O
Sony Semiconductor,O
Huawei,O
Microchip,O
Cypress,X
Systems Technology,O
Varian Medical Systems,O
Lantiq Integrated Products,X
Analog Devices,O
ARM,O
Integration,X
Renesas,X
Vectron International,O
Texas Instruments,O
MaxLinear,O
Edom,X
Edom Technology,O
Panasonic,O
Sony,O
