Entity,Whilte_list
"Huawei Technology Co., Ltd",O
CDMA Time Division Duplex,X
UNICAMP State University of Campinas,X
"Semiconductor Components Industries , LLC",X
"Marvell Semiconductor , Inc",X
"Texas Instruments, Inc",O
HTC,O
TSR,X
Tritech,X
BroadLight,O
Finisar Corporation,O
Diodes Technologies AG,X
Linear Technology Corporation,O
Sony Corporation,O
Taiwan Semiconductor Manufacturing Company Limited,O
Copyright,X
Qualcomm Technologies Inc,O
Warrant,X
Base and Support Products,X
Orthogonal Frequency Division,X
"Tianjin Haiguang Advanced Technology Investment Co., Ltd",O
Smart Networked Devices and Solutions Business Group,X
Advance Mobile Computing,X
Computing,X
Stanford Executive Program,X
"Analog Devices , Inc",X
Semi - Custom,X
Percello Ltd,O
Information,X
IBM Credit LLC,O
Siliconware ChipPAC Pte,X
ARM Holdings plc,X
IBIS,X
Siliconware Precision Industries,O
VP,X
THATIC JV's,O
QTL,X
Digital Signal Controllers,X
Customers,X
Electrical,X
Media,X
Mainstream and Base Products,X
IoT,X
National Association of Corporate Directors Board,O
"MACOM Technology Solutions Holdings , Inc",X
ON Semiconductor ®,X
""" Triune """,X
Tegra,X
Advanced Technology Investment Company,O
B.S.E.E,X
"Nokia Electronics Co. , Ltd",X
"Qualcomm Atheros, Inc",O
"Timing Device Technology , Inc",X
"Triune Systems , LLC",X
Capital Return Program,X
Apex Precision Power,O
Virtex-II,X
"AMD  Co. , Ltd",X
SmartThings,X
Hewlett- Packard Company,O
Texas Pacific Group,O
Nintendo of America,O
MMT,X
Zynq-7000,X
"Professional Computer Technology, Ltd",O
Wolfson,O
Global Foundries Inc,O
Final-Level,X
Our Image Sensor Group,X
Pace,X
Power,X
CEM,X
Maxim Instruments Inc,X
Signal Integrity and Timing Product,X
Chief Operating Office,X
Time Division Duplex-CDMA,X
ASE Electronics,O
ISBU,X
Hewlett-Packard,O
Knowles,X
Hewlett Packard Enterprise Company,O
STATS ChipPAC Incorporated,X
QSI,O
Materials Science and Engineering,X
Finance State University of New York,X
"Business Units , Sales & Marketing",X
Maxim Power Systems,X
STMicroelectronics N.V,O
ON Aptina Imaging Business,X
Integration,X
Visual,X
Gennum SG & A,X
Microchip Technology Corporation,X
EC,X
United States Government,X
"VMware , Inc",X
Analog and Interface Products Division,O
"Marvell Manufacturing Co. , Ltd",X
SANYO Semiconductor Co. Ltd,O
Assembly and Test,X
Clearwire,X
Active,X
ASR,X
EU,X
our and Finance,X
OEM,X
Solomon,X
"Wii of America , Inc",X
"TSMC Electronics Co. , Ltd",X
"Gutmann , Inc",X
MagnaChip Semiconductor LLC,O
OHSAS,X
Aerospace & Defense,X
Senet,O
EBV,X
"Teknovus , Inc",X
Sumitomo Electric Device Innovations,O
New Devices Group,X
Lattice Semiconductor Corporation,O
Cisco Report,O
CRYSTAL,X
Stanford Law School,X
QChat,X
"LVMH Audio , LLC",X
VCA,X
"Audience Technology , Inc",X
Mitsubishi Electric,O
Things Memory Solutions Group,X
Cellular Products Group,X
Intel Security Group,X
QUALCOMM Communications Inc,X
Advanced Communications and Sensing,X
Canadian,X
SANYO Display Company,X
Qualcomm Incorporated,O
"Murata Manufacturing Co., Ltd",O
Consolidated Balance Sheets,X
our Board of Directors,X
WiMAX,X
Sonova International,O
International Financial Reporting Standards,X
"PACT XPP Technologies, AG",O
ST Microelectronics N.V,O
Deutsche of America,X
Open-Silicon,X
DAC,X
e-Silicon,X
Fairchild: Power Solutions Group,O
Brew,X
a,X
ARS,X
Columbia,X
Qualcomm Wireless & Internet,O
Jaguar,O
Toshiba,O
ATIC International,O
Maxim Instruments Incorporated,X
AMTC Building Administration GmbH & Co . KG,X
QUALCOMM,O
Foxconn Technology Group,O
Gennum Product Group,O
Optical Transceiver Module IC,X
"General Manager , Automotive , Industrial , Medical and Mil-Aero Products Group",X
Apple In Motion Limited,X
a Bachelor of Arts,X
"IQE , Inc",X
Murata Grumman Corporation,X
AFS,X
WCDMA,X
Netgear,X
Juniper Networks,O
Merrill,X
Dune,X
"Sirenza Microdevices, Inc",O
"Microsemi Technology Group , Ltd",X
Apple,O
"Apple , Inc",X
"KEC Intertechnology , Inc",X
"Merrill , Fenner & Smith Incorporated",X
"Austriamicrosystems , Inc",X
Tesla Motors,O
Waze,X
Pro Technology,O
FLC,O
Executive Compensation Committee,X
Technical Information Centers and Solution Engineering Centers,X
Hitachi Digital Corporation,X
Capital,X
Pepperdine,X
Android,X
Siliconware ChipPAC Pte.Ltd,X
Samsung,O
HGST,O
Myomo,O
"Xilinx , Inc",X
PC Graphics Report,X
Sony Ericsson,O
ATIC II,O
"Brew , Plaza",X
SOC,X
Analog Power,O
